address,price,details
"61 Headwater Cres, Richmond Hill, ON L4E 0T2","C$2,588,800",4 bds6 ba- House for sale
"121 May Ave, Richmond Hill, ON L4C 3S7","C$1,999,900",3 bds2 ba- House for sale
"42 Rowley St, Brantford, ON N3S 0J4","C$995,999",4 bds4 ba- House for sale
"72 Westwood Ln, Richmond Hill, ON L4C 6Y1","C$4,498,000",4 bds8 ba- House for sale
"59 Briggs Ave, Richmond Hill, ON L4B 3A4","C$1,788,000",4 bds4 ba- House for sale
"7 Bond Cres #322, Richmond Hill, ON L4E 1E6","C$769,000",1 bd2 ba- Condo for sale
"112 Baker Ave, Richmond Hill, ON L4C 1X4","C$1,288,000",2 bds1 ba- House for sale
"LOT 34 Nine Mile Ln, Richmond Hill, ON L4C 4M2","C$1,165,000",4 bds4 ba- Townhouse for sale
"87 Stockdale Cres, Richmond Hill, ON L4C 3T1","C$1,390,000",5 bds3 ba- House for sale
"39 Oxford St, Richmond Hill, ON L4C 4L6","C$1,588,000",4 bds4 ba- House for sale
"9618 Yonge St #1015, Richmond Hill, ON L4C 0X5","C$489,990",1 bd1 ba- Condo for sale
"210 Duncan Rd, Richmond Hill, ON L4C 6J9","C$4,688,000",5 bds7 ba- House for sale
"89 Mack Clement Ln, Richmond Hill, ON L4S 0G2","C$1,070,000",3 bds4 ba- Townhouse for sale
"5 Parker Ave, Richmond Hill, ON L4E 2W4","C$1,428,000",2 bds2 ba- House for sale
"26 Capelle St, Richmond Hill, ON L4E 3E1","C$1,088,888",3 bds1 ba- House for sale
"12 Provence Ct, Richmond Hill, ON L4E 0H2","C$7,990,000",5 bds6 ba- House for sale
"5 Weldrick Rd #503, Richmond Hill, ON L4C 8S9","C$759,000",2 bds2 ba- Condo for sale
"15 El Dorado St, Richmond Hill, ON L4C 0G9","C$1,499,000",6 bds4 ba- House for sale
"63 Westwood Ln, Richmond Hill, ON L4C 6X6","C$5,800,000",4 bds5 ba- House for sale
"30 Addison St, Richmond Hill, ON L4C 7M2","C$1,650,000",-- sqft lot- Lot / Land for sale
"404 Taylor Mills Dr N, Richmond Hill, ON L4C 2V2","C$1,300,000",3 bds2 ba- House for sale
"25 Kensington Dr, Richmond Hill, ON L4E 3M9","C$5,299,988",7 bds5 ba- House for sale
"29 Elm Grove Ave, Richmond Hill, ON L4E 2T2","C$2,688,000",4 bds4 ba- House for sale
"8 Cortleigh Ct, Richmond Hill, ON L4B 3G9","C$4,188,000",5 bds7 ba- House for sale
"419 Lynett Cres, Richmond Hill, ON L4C 2V6","C$1,299,000",5 bds2 ba- House for sale
"14 Josie Dr #N/A, Richmond Hill, ON L4C 7G1","C$1,888,888",-- sqft lot- Lot / Land for sale
"136 Stouffville Rd, Richmond Hill, ON L4E 3M7","C$2,998,000",3 bds3 ba- House for sale
"LOT 60 Canyon Hill Ln, Richmond Hill, ON L4C 4M2","C$1,059,800",3 bds3 ba- House for sale
"7 Bond Cres #221, Richmond Hill, ON L4E 1E6","C$899,000",2 bds2 ba- Condo for sale
"11611 Yonge St #321, Richmond Hill, ON L4E 1G2","C$649,000",2 bds2 ba- Condo for sale
"22 James Noble Ln, Richmond Hill, ON L4C 4M2","C$1,145,000",4 bds4 ba- Townhouse for sale
"1061 Elgin Mills Rd E, Richmond Hill, ON L4S 1M7","C$4,500,000",-- sqft lot- Lot / Land for sale
