address,price,details
"Joy Sta, Markham, ON L6E 0H8","C$500,000",Studio-- ba- Condo for sale
"152 Kirk Dr, Markham, ON L3T 3L4","C$2,699,000",4 bds5 ba- House for sale
"12 Ravenhill Cres, Markham, ON L3S 2V6","C$2,288,888",5 bds5 ba- House for sale
"5 Decourcy Ct, Markham, ON L6C 1B6","C$9,980,000",8 bds14 ba- House for sale
"36 Halder Cres, Markham, ON L3R 7E7","C$1,358,800",4 bds4 ba- House for sale
"Elgin, East Toronto, ON L4S 1M4","C$550,000",Studio-- ba- Condo for sale
"17 Misty Ct, Markham, ON L6E 1K9","C$1,780,000",4 bds4 ba- House for sale
"83 Chokecherry Cres, Markham, ON L6E 0J2","C$1,048,800",4 bds4 ba- Townhouse for sale
"11 Crawford St, Markham, ON L6C 2L4","C$1,298,000",4 bds4 ba- House for sale
"388 Highway 7 E #TOWNHOUSE, Richmond Hill, ON L4B 0G5","C$1,429,000",3 bds5 ba- Townhouse for sale
"Union Vlg #PHASE 2, Markham, ON L6C 1N7","C$1,000,000",Studio-- ba- House for sale
"60 Inverlochy Blvd #1206, Markham, ON L3T 4T7","C$539,999",2 bds2 ba- Condo for sale
"12 Portia St, Markham, ON L6B 0Z4","C$1,359,990",4 bds4 ba- House for sale
"7167 Yonge St #102, Markham, ON L3T 0E1","C$1,048,000",4 bds3 ba- Condo for sale
"17 Welland Rd, Markham, ON L6B 0N4","C$1,388,000",4 bds4 ba- House for sale
"7805 Bayview Ave UNIT 206, Markham, ON L3T 7N1","C$758,888",2 bds2 ba- Condo for sale
"38 Cedarland Dr #1708, Markham, ON L6G 0G7","C$899,000",2 bds2 ba- Condo for sale
"13 Thomas Bales Dr, Markham, ON L6C 2W7","C$1,380,000",3 bds4 ba- House for sale
"2 Crescent Park Ln, Markham, ON L6C 0A6","C$2,199,000",4 bds6 ba- House for sale
"101 Cathedral High St PENTHOUSE 12, Markham, ON L6C 0N9","C$827,200",2 bds2 ba- Condo for sale
"24 Bedale Cres, Markham, ON L3R 3N7","C$999,000",3 bds4 ba- House for sale
"231 Church St, Markham, ON L3P 2M6","C$1,788,000",3 bds3 ba- House for sale
"2 Stonebridge Dr, Markham, ON L6C 2C3","C$2,690,000",5 bds4 ba- House for sale
"Markham Mls, Townhomes Markham, ON L3P 3J3","C$1,190,000",Studio-- ba- House for sale
"The Watford, Markham, ON L3R 2G9","C$500,000",Studio-- ba- Condo for sale
"9380 Kennedy Rd W, Markham, ON L6C 1N6","C$1,350,000",3 bds3 ba- Townhouse for sale
"33 Oakford Dr, Markham, ON L6C 0X8","C$2,399,000",5 bds6 ba- House for sale
"101 Cathedral High St PENTHOUSE 33, Markham, ON L6C 0P1","C$992,800",2 bds3 ba- Condo for sale
