address,price,details
"M2 Towns, Vaughan, ON L4K 5Z8","C$690,000","Studio-- ba2,607 sqft- House for sale"
"The Arthur Crafted Townhomes, Toronto, ON L6A 3Y9","C$930,000",Studio-- ba- House for sale
"20 Uplands Ave, Vaughan, ON L4J 1J9","C$4,780,000",5 bds7 ba- House for sale
"39 Elmway Ct, Vaughan, ON L4J 8V6","C$2,899,000",5 bds6 ba- House for sale
"4660 Kirby Rd, Vaughan, ON L4L 1A6","C$4,250,000",-- sqft lot- Lot / Land for sale
"249 Upper Post Rd, Vaughan, ON L6A 4K1","C$2,438,000",4 bds5 ba- House for sale
"0 Park Dr, Vaughan, ON L4L 2H3","C$1,980,000",-- sqft lot- Lot / Land for sale
"7 Brighton Pl #6, Vaughan, ON L4J 0H1","C$690,000",4 bds3 ba- Townhouse for sale
"Promenade Park Towers #2, Thornhill, ON L4J 4P8","C$450,000",Studio-- ba- Condo for sale
"7651 Keele St, Vaughan, ON L4K 1Y5","C$2,200,000",-- sqft lot- Lot / Land for sale
"7661 Keele St, Vaughan, ON L4K 1Y5","C$2,200,000",-- sqft lot- Lot / Land for sale
"99 Eagle Rock Way #728, Vaughan, ON L6A 4Z4","C$399,999",1 bd1 ba510 sqft- Condo for sale
"Promenade Park, Towers Thornhill, ON L4J 4P8","C$600,000",Studio-- ba- Condo for sale
"The Thornhill, Thornhill, ON L4J 0G8","C$479,900",1 bd1 ba607 sqft- Condo for sale
"Linx, Toronto, ON M4C 1L4","C$500,000",1 bd-- ba- Condo for sale
"100 New Park Pl, Vaughan, ON L4K 0J3","C$749,000",2 bds2 ba818 sqft- Condo for sale
"Mobilio & Towns, Vaughan, ON L4K 2M7","C$450,000","Studio-- ba1,115 sqft- Condo for sale"
"59 City Park Cir, Vaughan, ON L4L 0H2","C$780,000",3 bds4 ba- Townhouse for sale
"20 Lady Fenyrose Ave, Vaughan, ON L6A 0E2","C$2,060,000",4 bds-- ba- Townhouse for sale
