address,price,details
"208 Squire Cres, Oakville, ON L6H 0L6","C$1,199,000",3 bds-- ba- Townhouse for sale
"3227 Ulman Rd, Oakville, ON L6L 5S8","C$1,650,000","4 bds3 ba2,768 sqft- House for sale"
"18 Howard Ave, Oakville, ON L6J 3Y3","C$5,300,000",5 bds6 ba- House for sale
"3326 Carding Mill Trl, Oakville, ON L6M 1R7","C$1,049,900",4 bds4 ba- Townhouse for sale
"96 Germorda Dr, Oakville, ON L6H 2R1","C$1,799,888","8 bds4 ba3,200 sqft- House for sale"
"1488 Pilgrims Way #1333, Oakville, ON L6M 3G8","C$519,999",2 bds1 ba- Condo for sale
"1202 Lindenrock Dr, Oakville, ON L6H 6T4","C$1,699,888",4 bds5 ba- House for sale
"3199 Mintwood Cir, Oakville, ON L6H 0P1","C$1,180,000","4 bds4 ba2,105 sqft- Townhouse for sale"
"2028 Marine Dr, Oakville, ON L6L 1B4","C$2,258,800","5 bds3 ba3,558 sqft- House for sale"
"1162 Morrison Heights Dr, Oakville, ON L6J 4J1","C$3,990,000","5 bds5 ba3,421 sqft- House for sale"
"520 Terrace Way, Oakville, ON L6M 1N5","C$999,000",3 bds3 ba- House for sale
"168 Sabina Dr #103, Oakville, ON L6H 0W5","C$585,000",1 bd1 ba755 sqft- Condo for sale
"457 Maple Grove Dr, Oakville, ON L6J 4V9","C$3,199,000","3 bds4 ba2,917 sqft- House for sale"
"56 Jones St #127, Oakville, ON L6L 3E5","C$1,749,000","3 bds3 ba2,403 sqft- Townhouse for sale"
"295 Sandwell Dr, Oakville, ON L6L 4P5","C$1,449,000",4 bds2 ba- House for sale
"2241 Proudfoot Trl, Oakville, ON L6M 3S7","C$1,890,000","4 bds-- ba3,033 sqft- House for sale"
"3366 Fox Run Cir, Oakville, ON L6L 6W4","C$2,295,000","5 bds5 ba4,279 sqft- House for sale"
"3406 Fox Run Cir, Oakville, ON L6L 6W5","C$1,988,000",4 bds4 ba- House for sale
"416 Chartwell Rd, Oakville, ON L6J 4A3","C$3,588,000","5 bds6 ba5,554 sqft- House for sale"
"211 Church St, Oakville, ON L6J 1N4","C$2,988,000","3 bds5 ba2,717 sqft- Townhouse for sale"
"449 Tennyson Dr, Oakville, ON L6L 3Z2","C$2,649,900","5 bds5 ba4,968 sqft- House for sale"
"2470 Prince Michael Dr #213, Oakville, ON L6H 0G9","C$900,000","2 bds2 ba1,236 sqft- New construction"
"151 Reynolds St, Oakville, ON L6J 3K8","C$2,849,990","3 bds4 ba2,955 sqft- Townhouse for sale"
"523 Rebecca St, Oakville, ON L6K 1L2","C$2,099,900","5 bds5 ba2,721 sqft- House for sale"
"1110 Lakeshore Rd W, Oakville, ON L6L 1G1","C$1,850,000","3 bds1 ba1,724 sqft- House for sale"
"511 Macdonald Rd, Oakville, ON L6J 2B7","C$7,249,000","5 bds7 ba8,461 sqft- House for sale"
"1092 Melvin Ave, Oakville, ON L6J 2V9","C$2,200,000","4 bds2 ba1,966 sqft- House for sale"
"128 Garden Dr #419, Oakville, ON L6K 0H7","C$875,000","2 bds2 ba1,025 sqft- Condo for sale"
"1560 Destiny Ct, Oakville, ON L6H 7L1","C$1,699,000",5 bds4 ba- House for sale
"2019 Waters Edge Dr, Oakville, ON L6L 1A3","C$2,198,000","4 bds3 ba2,218 sqft- House for sale"
"574 4th Line, Oakville, ON L6L 5A7","C$1,599,000","3 bds2 ba1,200 sqft- House for sale"
"111 Forsythe St #201, Oakville, ON L6K 3J9","C$1,348,900",2 bds2 ba- Condo for sale
